interval_start_timestamp,discovery_joins,invites,vanity_joins
2022-06-28T00:00:00+00:00,0,17,0
2022-06-29T00:00:00+00:00,0,10,0
2022-06-30T00:00:00+00:00,0,14,0
2022-07-01T00:00:00+00:00,0,6,0
2022-07-02T00:00:00+00:00,0,1,0
2022-07-03T00:00:00+00:00,0,8,0
2022-07-04T00:00:00+00:00,0,15,0
2022-07-05T00:00:00+00:00,0,7,0
2022-07-06T00:00:00+00:00,0,10,0
2022-07-07T00:00:00+00:00,0,13,0
2022-07-08T00:00:00+00:00,0,3,0
2022-07-09T00:00:00+00:00,0,3,0
2022-07-10T00:00:00+00:00,0,3,0
2022-07-11T00:00:00+00:00,0,7,0
2022-07-12T00:00:00+00:00,0,1,0
2022-07-13T00:00:00+00:00,0,0,0
2022-07-14T00:00:00+00:00,0,1,0
2022-07-15T00:00:00+00:00,0,1,0
2022-07-16T00:00:00+00:00,0,0,0
2022-07-17T00:00:00+00:00,0,2,0
2022-07-18T00:00:00+00:00,0,2,0
2022-07-19T00:00:00+00:00,0,2,0
2022-07-20T00:00:00+00:00,0,4,0
2022-07-21T00:00:00+00:00,0,1,0
2022-07-22T00:00:00+00:00,0,0,0
2022-07-23T00:00:00+00:00,0,0,0
2022-07-24T00:00:00+00:00,0,0,0
2022-07-25T00:00:00+00:00,0,0,0
2022-07-26T00:00:00+00:00,0,0,0
2022-07-27T00:00:00+00:00,0,0,0
2022-07-28T00:00:00+00:00,0,0,0
2022-07-29T00:00:00+00:00,0,0,0
2022-07-30T00:00:00+00:00,0,0,0
2022-07-31T00:00:00+00:00,0,1,0
2022-08-01T00:00:00+00:00,0,2,0
2022-08-02T00:00:00+00:00,0,0,0
2022-08-03T00:00:00+00:00,0,1,0
2022-08-04T00:00:00+00:00,0,0,0
2022-08-05T00:00:00+00:00,0,0,0
2022-08-06T00:00:00+00:00,0,0,0
2022-08-07T00:00:00+00:00,0,0,0
2022-08-08T00:00:00+00:00,0,0,0
2022-08-09T00:00:00+00:00,0,0,0
2022-08-10T00:00:00+00:00,0,0,0
2022-08-11T00:00:00+00:00,0,0,0
2022-08-12T00:00:00+00:00,0,0,0
2022-08-13T00:00:00+00:00,0,0,0
2022-08-14T00:00:00+00:00,0,0,0
2022-08-15T00:00:00+00:00,0,0,0