interval_start_timestamp,total_membership
2022-06-28T00:00:00+00:00,515
2022-06-29T00:00:00+00:00,555
2022-06-30T00:00:00+00:00,576
2022-07-01T00:00:00+00:00,592
2022-07-02T00:00:00+00:00,614
2022-07-03T00:00:00+00:00,624
2022-07-04T00:00:00+00:00,626
2022-07-05T00:00:00+00:00,635
2022-07-06T00:00:00+00:00,652
2022-07-07T00:00:00+00:00,664
2022-07-08T00:00:00+00:00,682
2022-07-09T00:00:00+00:00,693
2022-07-10T00:00:00+00:00,699
2022-07-11T00:00:00+00:00,700
2022-07-12T00:00:00+00:00,706
2022-07-13T00:00:00+00:00,711
2022-07-14T00:00:00+00:00,715
2022-07-15T00:00:00+00:00,715
2022-07-16T00:00:00+00:00,717
2022-07-17T00:00:00+00:00,717
2022-07-18T00:00:00+00:00,717
2022-07-19T00:00:00+00:00,721
2022-07-20T00:00:00+00:00,733
2022-07-21T00:00:00+00:00,733
2022-07-22T00:00:00+00:00,735
2022-07-23T00:00:00+00:00,736
2022-07-24T00:00:00+00:00,736
2022-07-25T00:00:00+00:00,735
2022-07-26T00:00:00+00:00,735
2022-07-27T00:00:00+00:00,735
2022-07-28T00:00:00+00:00,735
2022-07-29T00:00:00+00:00,735
2022-07-30T00:00:00+00:00,734
2022-07-31T00:00:00+00:00,734
2022-08-01T00:00:00+00:00,734
2022-08-02T00:00:00+00:00,736
2022-08-03T00:00:00+00:00,738
2022-08-04T00:00:00+00:00,738
2022-08-05T00:00:00+00:00,738
2022-08-06T00:00:00+00:00,738
2022-08-07T00:00:00+00:00,738
2022-08-08T00:00:00+00:00,738
2022-08-09T00:00:00+00:00,738
2022-08-10T00:00:00+00:00,738
2022-08-11T00:00:00+00:00,738
2022-08-13T00:00:00+00:00,737
2022-08-14T00:00:00+00:00,737
2022-08-15T00:00:00+00:00,737